,magnetization per site,E per site,chi,heat capacity,beta
0,0.4462836479999994,-1.456788991999998,0.00040151562725434294,0.0005381054890229897,0.12
1,0.5182310399999989,-1.7341391360000016,0.0002548733283187406,0.0005401353226696405,0.1226530612244898
2,0.5768922879999989,-1.996902912,0.00016397425674100492,0.0004674342489764232,0.1253061224489796
3,0.6216494079999993,-2.2207526399999957,0.0001300079452231239,0.000434335178260546,0.1279591836734694
4,0.6597131519999988,-2.4274268159999934,0.00010457490801711604,0.0004140759511695048,0.13061224489795917
5,0.6924679680000014,-2.6166540799999973,8.551748536906139e-05,0.00039007913819893455,0.13326530612244897
6,0.7201505280000008,-2.785147904000009,6.913900797410224e-05,0.0003561635067225055,0.13591836734693877
7,0.7445407999999991,-2.940786432000003,6.47344400525935e-05,0.0003722021722392484,0.13857142857142857
8,0.7664898559999992,-3.086466048000004,5.409717596458366e-05,0.0003410828600305671,0.14122448979591837
9,0.7858709759999988,-3.2196672000000004,4.601091012450032e-05,0.00031444335469300297,0.14387755102040817
10,0.8033991679999991,-3.3428313599999986,4.0695118482957714e-05,0.00029885012130485584,0.14653061224489797
11,0.8189781760000013,-3.456032767999998,3.541065719962858e-05,0.00027695820641469507,0.14918367346938777
12,0.8326177280000023,-3.557443840000015,3.226015416256807e-05,0.0002710499388155564,0.15183673469387754
13,0.8454355199999998,-3.654670335999998,2.942084340158841e-05,0.00026160635200340803,0.15448979591836734
14,0.8571235839999984,-3.744949759999987,2.6540962114634286e-05,0.0002485895575484888,0.15714285714285714
15,0.8672541439999965,-3.8246233600000092,2.345026542072996e-05,0.00023209282869873364,0.15979591836734694
16,0.8767288320000011,-3.9007086079999964,2.2147302871630705e-05,0.00023037509825431593,0.16244897959183674
17,0.8852034559999985,-3.9691105280000074,2.07323510522832e-05,0.0002242699413638594,0.1651020408163265
18,0.8934478080000008,-4.036869120000008,1.8358345431741892e-05,0.00020766101574112823,0.16775510204081634
19,0.900546303999998,-4.096230656,1.744069878549724e-05,0.0002048381572817947,0.1704081632653061
20,0.9073245439999953,-4.15314022400001,1.6378744194305882e-05,0.00019865869818412347,0.1730612244897959
21,0.9134920959999973,-4.205476863999981,1.5015448580123492e-05,0.00018966802760613264,0.1757142857142857
22,0.9194737919999965,-4.256598272000009,1.401380358881592e-05,0.00018339447396958762,0.1783673469387755
23,0.9245127679999938,-4.300117248000003,1.325808185994785e-05,0.00017914160476803072,0.1810204081632653
24,0.9296325119999994,-4.344853760000001,1.1817982947044753e-05,0.0001657704405229624,0.18367346938775508
25,0.9340143359999987,-4.383174400000008,1.1372504113534356e-05,0.0001626188129075363,0.1863265306122449
26,0.9382448639999992,-4.4206079999999925,1.066955130589352e-05,0.00015687869938465628,0.18897959183673468
27,0.9420730880000016,-4.4550085119999965,9.808568557572421e-06,0.00014845011362641086,0.19163265306122448
28,0.9457171200000057,-4.487491584000003,9.087454347586541e-06,0.0001407078729450683,0.19428571428571428
29,0.9490328320000099,-4.517394431999997,8.431372308404868e-06,0.00013449076287064474,0.19693877551020408
30,0.9523096320000041,-4.547130368000023,8.255966552970546e-06,0.00013482306313574441,0.19959183673469388
31,0.9552252160000014,-4.573674239999998,7.531821913979129e-06,0.0001266383964789353,0.20224489795918366
32,0.9578904320000036,-4.598091776000017,7.391369505488106e-06,0.0001269656459004023,0.20489795918367348
33,0.960521472000004,-4.622374912000013,6.714259248885579e-06,0.00011768057941377735,0.20755102040816326
34,0.9629703680000006,-4.644951807999983,6.195353173987557e-06,0.0001106989337560377,0.21020408163265306
35,0.9652180479999992,-4.665847039999969,6.012621695523793e-06,0.00011014841349878815,0.21285714285714286
36,0.9670965759999999,-4.683332863999962,5.703227649994443e-06,0.00010619197270411608,0.21551020408163266
37,0.9691374079999978,-4.702357503999994,5.332981750453043e-06,0.00010124679705166908,0.21816326530612246
38,0.9708799999999957,-4.718667775999992,4.997559758138307e-06,9.727306230454854e-05,0.22081632653061223
39,0.972621312,-4.735093760000003,4.943045929945785e-06,9.703181030689473e-05,0.22346938775510206
40,0.9742284799999956,-4.750139648000013,4.411680474235093e-06,8.887845528146038e-05,0.22612244897959183
41,0.9756632319999966,-4.763771648000021,4.3476337871658655e-06,8.890422696951117e-05,0.22877551020408163
42,0.9771664639999983,-4.778022912000008,3.9311218006478555e-06,8.174899192326833e-05,0.23142857142857143
43,0.9783404799999984,-4.789190656000038,3.7830301387831848e-06,7.9736253488528e-05,0.23408163265306123
44,0.9795866880000021,-4.801081087999978,3.706501257023563e-06,7.947215141297058e-05,0.23673469387755103
45,0.9807843839999983,-4.812532224000009,3.4768305228013595e-06,7.592143015765839e-05,0.2393877551020408
46,0.9818590720000008,-4.8228170240000034,3.252467140958869e-06,7.20582734914705e-05,0.24204081632653063
47,0.9828714240000002,-4.832504064000007,2.9804007309660074e-06,6.6930709115718e-05,0.2446938775510204
48,0.9838544639999982,-4.841929728000008,2.9081061864586433e-06,6.641859065261621e-05,0.2473469387755102
49,0.9847836159999935,-4.850869248000016,2.832470500313544e-06,6.562475308746762e-05,0.25
