,magnetization per site,E per site,chi,heat capacity,beta
0,0.16060845307648045,-0.8771140586346694,0.004943747997202724,0.0012324281709444644,0.35
1,0.16408442549608215,-0.8924185483446417,0.005175848908700315,0.0012663339214847335,0.35387755102040813
2,0.1758450444760281,-0.9205579241012702,0.005678327201352203,0.001341387502312276,0.3577551020408163
3,0.17999894731301985,-0.9267071951155282,0.0063526564788341,0.001472675574859401,0.3616326530612245
4,0.18737617769356404,-0.9430364756039795,0.006794924969223578,0.0014516726509166689,0.36551020408163265
5,0.19980998999947577,-0.9656545081320097,0.007520257848755603,0.0015459535659553402,0.3693877551020408
6,0.20736696668246218,-0.9813790199484167,0.007973950240481498,0.0015956865016657847,0.37326530612244896
7,0.21997999894731754,-1.0006600347386614,0.008714023624814177,0.0016486428896197347,0.3771428571428571
8,0.23309568924680418,-1.0160034738670485,0.01007632128063684,0.0017813416075629983,0.3810204081632653
9,0.24590294226012163,-1.0335601873782863,0.010615926648751167,0.0017902801132451708,0.3848979591836735
10,0.26041765356071456,-1.0532828043581244,0.012185000054253499,0.0018875531193626777,0.38877551020408163
11,0.2788765198168337,-1.075391862729622,0.013435893638473152,0.002177113783682427,0.3926530612244898
12,0.305549502605403,-1.107577240907413,0.015248809438236505,0.002304669044331225,0.39653061224489794
13,0.3198976261908545,-1.1177146165587646,0.016164500646997152,0.0024842576471812224,0.40040816326530615
14,0.3503723880204249,-1.1466482446444475,0.018082686473752777,0.002678545619590071,0.4042857142857143
15,0.37143849676299023,-1.1663650718458793,0.019018747192567683,0.0028689308631895108,0.40816326530612246
16,0.4074488130954259,-1.1983157008263645,0.02089089216324925,0.0032173456173274764,0.4120408163265306
17,0.45162719090478504,-1.233489131006886,0.021735083459400725,0.003415951642595243,0.41591836734693877
18,0.47950918469393383,-1.2584720248434142,0.022554642114770828,0.003797000260175742,0.419795918367347
19,0.5288446760355824,-1.2997773567029938,0.02255756923153401,0.0040342714824461575,0.4236734693877551
20,0.5667453550186866,-1.3316658771514327,0.02182029156838369,0.004189702850634443,0.4275510204081633
21,0.6120251065845607,-1.3706200326333016,0.020086028311662327,0.004119689865634607,0.43142857142857144
22,0.6414482341175894,-1.3995294489183616,0.01888554331158423,0.004061431709389233,0.4353061224489796
23,0.6816495605031846,-1.4340665298173636,0.015873462800618528,0.0040334097845494505,0.43918367346938775
24,0.7095294489183626,-1.4620885309753142,0.014369372716149412,0.003955872887048916,0.4430612244897959
25,0.7436046634033332,-1.49508553081741,0.01121373738879658,0.0037304331696661423,0.4469387755102041
26,0.7670916890362649,-1.5226417179851595,0.009495956905877023,0.0034547584292303037,0.45081632653061227
27,0.790447918311493,-1.5483778093583882,0.007318509360255735,0.003273785901411051,0.4546938775510204
28,0.8081154271277421,-1.5726411916416578,0.006402777271424246,0.0032533279457931845,0.4585714285714286
29,0.8277314595505041,-1.5974651297436755,0.004581737202117487,0.002896113847462536,0.46244897959183673
30,0.8393689141533861,-1.6156513500710592,0.004030734523579515,0.0027797497607383393,0.46632653061224494
31,0.8514577083004424,-1.63334228117269,0.0031588451710448237,0.002595887527445761,0.4702040816326531
32,0.8636515079741072,-1.65415074477603,0.0026334188324241134,0.0024341396201086867,0.47408163265306125
33,0.8731538502026513,-1.6705258171482704,0.0021490797665425364,0.0023187766450094155,0.4779591836734694
34,0.8806260855834577,-1.6839502079056712,0.0019091357904714877,0.002300966261635259,0.48183673469387756
35,0.8886946681404407,-1.6994552344860303,0.0016600946246460057,0.0021914898044955227,0.48571428571428577
36,0.8956134533396629,-1.7129154166008767,0.0013279982131865263,0.0020007414860077483,0.4895918367346939
37,0.9018982578030494,-1.7252744881309592,0.0012449372239170828,0.0019596360842616435,0.4934693877551021
38,0.908894415495559,-1.7402926469814288,0.0010108860477461045,0.0018283203668378787,0.49734693877551023
39,0.9129291015316585,-1.7490231064792996,0.0009124307997539014,0.0017606112607450963,0.5012244897959184
40,0.9179204168640491,-1.760276856676668,0.0008099441273697476,0.0017183665050561185,0.5051020408163266
41,0.9227033001736906,-1.7713211221643348,0.0007260121038037099,0.0016319558773117782,0.5089795918367347
42,0.9252847518290453,-1.7776582978051632,0.0007153089641933142,0.0016178797223495764,0.5128571428571429
43,0.9297391967998273,-1.7879262066424766,0.0006032170462791849,0.001527403214326212,0.516734693877551
44,0.9328075161850572,-1.7956860887415291,0.0005714252244815976,0.0014818154980491963,0.5206122448979592
45,0.9369506289804687,-1.8054923943365546,0.0004922460462523361,0.001410075633385226,0.5244897959183674
46,0.9399539449444622,-1.8139059950523777,0.0004798727606542664,0.0013967071737742902,0.5283673469387755
47,0.9428654139691406,-1.82151850097374,0.0004531717469351027,0.0013289654758053108,0.5322448979591837
48,0.9455589767882284,-1.8282409600505416,0.00040208940052420924,0.0012745319385624304,0.5361224489795919
49,0.9479406810884595,-1.835258171482725,0.0003780114868861606,0.0012409753864452303,0.54
