,magnetization per site,E per site,chi,heat capacity,beta
0,0.07672687500000036,-0.8812775000000014,0.0013238794612695556,0.00035589900423428655,0.35
1,0.08568662500000047,-0.9028457500000002,0.0014138584637532902,0.0004030488270622299,0.35387755102040813
2,0.0816366250000004,-0.9129620000000003,0.0013872134264486682,0.00031571187742769223,0.3577551020408163
3,0.0880223750000001,-0.9256195000000016,0.0017021502346918247,0.0003501812843496989,0.3616326530612245
4,0.0963060000000006,-0.94114925,0.0018613338681094456,0.00035833475375369664,0.36551020408163265
5,0.09527550000000039,-0.9553682500000026,0.0019101372248566371,0.0003674150948749641,0.3693877551020408
6,0.10382575000000029,-0.9764152499999985,0.0022774852218282633,0.00044393012225455564,0.37326530612244896
7,0.10809762500000042,-0.997172750000002,0.002539657442372636,0.00046241479386850855,0.3771428571428571
8,0.11202912500000062,-1.009364999999999,0.0026342111424758293,0.0004841511723105049,0.3810204081632653
9,0.12488375000000003,-1.0350379999999977,0.00335247189999555,0.0004142811176255447,0.3848979591836735
10,0.12733800000000045,-1.0435437499999967,0.0033776495610060597,0.0004493580444387502,0.38877551020408163
11,0.14023675000000038,-1.0673252500000026,0.003972957865809638,0.0005122486851226963,0.3926530612244898
12,0.14578462500000022,-1.0881075000000033,0.0046153877592906385,0.0005789124121929075,0.39653061224489794
13,0.16603762499999986,-1.1098795000000001,0.005755677674836851,0.000573146375338881,0.40040816326530615
14,0.1745936249999998,-1.1272052499999974,0.006363975140239282,0.0006025154715380671,0.4042857142857143
15,0.1925567500000004,-1.1499040000000034,0.007574050088545875,0.0006386729752631173,0.40816326530612246
16,0.22663337500000202,-1.184227749999998,0.009755766947285074,0.0007315152487256676,0.4120408163265306
17,0.24654437500000034,-1.1999952500000015,0.011446337083485315,0.0007732306944551698,0.41591836734693877
18,0.28886087500000096,-1.2301797499999998,0.01408306082591237,0.000860380394385576,0.419795918367347
19,0.33470624999999915,-1.2578580000000008,0.01625331260309349,0.0009448399622823887,0.4236734693877551
20,0.3937467499999991,-1.2949959999999958,0.0183987929023722,0.00107040385942938,0.4275510204081633
21,0.44847662500000224,-1.3260615,0.01995843785543108,0.0012247004747365853,0.43142857142857144
22,0.5480997500000011,-1.3779900000000027,0.017128796263089437,0.0011920180253148869,0.4353061224489796
23,0.610708625000001,-1.414375749999994,0.014527158295051705,0.0011862771925311817,0.43918367346938775
24,0.6777898750000005,-1.4566614999999927,0.009630125346143872,0.0011087095919985624,0.4430612244897959
25,0.7197033749999971,-1.4875765000000007,0.007106228475535149,0.0011075778247691037,0.4469387755102041
26,0.756441624999999,-1.5186977500000007,0.00467643778432135,0.0009686369552800617,0.45081632653061227
27,0.784790250000001,-1.5471764999999973,0.0031019669906104416,0.0009144456254855742,0.4546938775510204
28,0.806669874999999,-1.5716285000000059,0.002149320037615683,0.0008385346175808639,0.4585714285714286
29,0.8261824999999946,-1.596698249999999,0.0013648770371016813,0.0007279156222469147,0.46244897959183673
30,0.8402296250000005,-1.6159014999999946,0.001020679155482429,0.0006872518514166344,0.46632653061224494
31,0.8531241249999993,-1.6357567500000005,0.0007680363424940692,0.0006477995805038203,0.4702040816326531
32,0.8629913749999992,-1.6519260000000016,0.0006603862121965199,0.0006239540296907618,0.47408163265306125
33,0.8726598749999974,-1.6690792499999973,0.0005604363742315748,0.0005805084739075294,0.4779591836734694
34,0.8807656250000003,-1.6837687500000025,0.0004620044429139906,0.0005605993517412373,0.48183673469387756
35,0.8887777499999958,-1.6989947500000013,0.00038229425989534226,0.0005232528066507282,0.48571428571428577
36,0.8961218750000002,-1.713374000000002,0.0003450292853259695,0.0005163512821652062,0.4895918367346939
37,0.9025288750000021,-1.7262350000000017,0.0002940204467794353,0.00048744712066763274,0.4934693877551021
38,0.9078824999999995,-1.7379790000000033,0.00026000518056445044,0.00045888752702212234,0.49734693877551023
39,0.9124638749999989,-1.7482545000000034,0.00023669203849311214,0.0004628683667426157,0.5012244897959184
40,0.9175864999999988,-1.7595655000000043,0.0002065018233745563,0.00042236004757063004,0.5051020408163266
41,0.9222927500000007,-1.7704327499999957,0.00018563417016255907,0.00041146849046505855,0.5089795918367347
42,0.9259720000000023,-1.7792567500000038,0.0001726874447037089,0.0003989214019548763,0.5128571428571429
43,0.9301013750000022,-1.7890667500000046,0.000152721845310299,0.00038617432399901385,0.516734693877551
44,0.933340625,-1.7971937499999964,0.00014563740650993336,0.0003848315211708818,0.5206122448979592
45,0.9369170000000006,-1.8061905000000018,0.00012966475336736883,0.0003583843112003214,0.5244897959183674
46,0.9398256249999991,-1.8134964999999934,0.00011717638957759335,0.00034777146309177107,0.5283673469387755
47,0.9426508749999973,-1.8209535000000059,0.00011140428895969648,0.00034126119315426286,0.5322448979591837
48,0.945545874999998,-1.828229249999997,0.00010166003562080576,0.00032903886618353335,0.5361224489795919
49,0.9478830000000007,-1.8344912500000006,9.543210669135106e-05,0.0003194468664159127,0.54
